2026-03-15 04:14:52 [INFO] Fetching today's prices from sharesansar…
2026-03-15 04:15:05 [WARNING] Connection error on attempt 1/3: https://www.sharesansar.com/today-share-price
2026-03-15 04:15:20 [WARNING] Connection error on attempt 2/3: https://www.sharesansar.com/today-share-price
2026-03-15 04:15:28 [WARNING] Connection error on attempt 3/3: https://www.sharesansar.com/today-share-price
2026-03-15 04:15:28 [ERROR] Failed after 3 attempts: https://www.sharesansar.com/today-share-price
2026-03-15 04:15:28 [ERROR] Could not fetch today's data from sharesansar
2026-03-15 04:15:28 [INFO] [NABIL] Not in sharesansar bulk — falling back to merolagani
2026-03-15 04:15:29 [WARNING] Connection error on attempt 1/3: https://merolagani.com/CompanyDetail.aspx?symbol=NABIL
2026-03-15 04:15:45 [WARNING] Connection error on attempt 2/3: https://merolagani.com/CompanyDetail.aspx?symbol=NABIL
2026-03-15 04:15:52 [WARNING] Connection error on attempt 3/3: https://merolagani.com/CompanyDetail.aspx?symbol=NABIL
2026-03-15 04:15:52 [ERROR] Failed after 3 attempts: https://merolagani.com/CompanyDetail.aspx?symbol=NABIL
2026-03-15 04:33:36 [INFO] [NLICL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NMB] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NMBMF] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NMFBS] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NMIC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NMLBBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NRIC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NRM] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NRN] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NTC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NUBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NWCL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [NYADI] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [OHL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [OMPL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [PCBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [PFL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [PHCL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [PMHPL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [PMLI] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [PPCL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [PPL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [PRIN] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [PROFL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [PRVU] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [PURE] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [RADHI] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [RAWA] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [RBCL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [RFPL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [RHGCL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [RHPL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [RIDI] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [RLFL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [RNLI] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [RSDC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [RSML] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [RURU] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SABBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SADBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SAGAR] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SAHAS] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SAIL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SALICO] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SANIMA] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SANVI] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SAPDBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SARBTM] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SBI] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SCB] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SFCL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SGHC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SGIC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SHEL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SHINE] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SHIVM] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SHL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SHLB] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SHPC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SICL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [SIFC] Already up-to-date, nothing to add
